Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        4     0.00     0.00  int std::__countl_zero<unsigned long>(unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Event, void>::value, Event*>::type std::__relocate_a_1<Event, Event>(Event*, Event*, Event*, std::allocator<Event>&)
  0.00      0.00     0.00        4     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  long std::__lg<long>(long)
  0.00      0.00     0.00        2     0.00     0.00  build_event_1d(std::vector<Event, std::allocator<Event> >&, std::vector<Move, std::allocator<Move> > const&, long long)
  0.00      0.00     0.00        2     0.00     0.00  Sum_BIT::Sum_BIT(int)
  0.00      0.00     0.00        2     0.00     0.00  Sum_BIT::~Sum_BIT()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<long long const*, std::vector<long long, std::allocator<long long> > >::__normal_iterator(long long const* const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__ops::__iter_equal_to_iter()
  0.00      0.00     0.00        2     0.00     0.00  bool __gnu_cxx::operator==<Event*, std::vector<Event, std::allocator<Event> > >(__gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > > const&, __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > > const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >::operator+(long) const
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Move, std::allocator<Move> >::end() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Move, std::allocator<Move> >::begin() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::cbegin() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::capacity() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::max_size() const
  0.00      0.00     0.00        2     0.00     0.00  void std::__copy_move<true, false, std::random_access_iterator_tag>::__assign_one<long long, long long>(long long*, long long*)
  0.00      0.00     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Move*>(Move*, Move*)
  0.00      0.00     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Event*>(Event*, Event*)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_M_allocate(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_Vector_impl::_Vector_impl(std::allocator<Move> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_M_deallocate(Move*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_Vector_base(unsigned long, std::allocator<Move> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::~_Vector_base()
